Protein;Count
Chromosomal replication initiator protein DnaA;7070
Beta sliding clamp;7066
DNA replication and repair protein RecF;7061
hypothetical protein;10263295
DNA gyrase subunit B;7075
DNA gyrase subunit A;7064
putative protein;1673021
tRNA-Ile(gat);7076
tRNA-Ala(tgc);7079
Cell wall synthesis protein CwsA;7067
Peptidyl-prolyl cis-trans isomerase A;7060
Cell division protein CrgA;7063
Anthranilate synthase component 2;7057
Serine/threonine-protein kinase PknB;7062
Serine/threonine-protein kinase PknA;6540
Penicillin-binding protein A;7084
putative FtsW-like protein;7054
PP2C-family Ser/Thr phosphatase;6683
FHA domain-containing protein FhaB;7058
FHA domain-containing protein FhaA;7067
tRNA-Leu(cag);7057
Inosine-5'-monophosphate dehydrogenase;13629
Transcriptional regulator WhiB5;7027
putative HTH-type transcriptional regulator;174923
putative proteinA;54473
Putative 8-amino-7-oxononanoate synthase 2;7962
Acyl carrier protein;7039
2-succinylbenzoate--CoA ligase;20998
putative MFS-type transporter;21548
Proline-rich 28 kDa antigen;7053
Leucine--tRNA ligase;7066
Pyrimidine monooxygenase RutA;7021
2-(acetamidomethylene)succinate hydrolase;4952
Inositol-3-phosphate synthase;7059
Penicillin-binding protein 1A;6731
Isonitrile hydratase;7031
30S ribosomal protein S6;7056
Single-stranded DNA-binding protein;14056
30S ribosomal protein S18 1;14095
50S ribosomal protein L9;7055
Replicative DNA helicase;7062
Endoglucanase A;7050
putative FAD-linked oxidoreductase YvdP;6983
Ribonuclease VapC9;14098
Isocitrate dehydrogenase [NADP] 2;7046
L-serine dehydratase;7050
Serine hydroxymethyltransferase 2;7055
putative ABC transporter permease;12327
putative ABC transporter ATP-binding protein;40587
Imidazolonepropionase;13921
Cystathionine beta-lyase;7143
Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase;7005
Transposon Tn10 TetC protein;6750
Dormancy associated translation inhibitor;7060
Formate hydrogenlyase subunit 7;6945
Hydrogenase-4 component B;6504
Formate hydrogenlyase subunit 4;7043
